GS_SNAP,GS_INSTR_DESC,GS_BASE_CCY,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
ASIA,RUSDNOKSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,ASK,9.234,2023-03-15,2023-03-15
ASIA,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,ASK,8.5432,2023-03-15,2023-03-15
ASIA,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,ASK,32.72,2023-03-15,2023-03-15
ASIA,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,ASK,14.1335,2023-03-15,2023-03-15
ASIA,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,ASK,1.2665,2023-03-15,2023-03-15
ASIA,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,ASK,1.1376,2023-03-15,2023-03-15
ASIA,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,ASK,0.9921,2023-03-15,2023-03-15
ASIA,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,ASK,0.687,2023-03-15,2023-03-15
ASIA,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,ASK,0.7234,2023-03-15,2023-03-15
ASIA,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,ASK,14520,2023-03-15,2023-03-15
ASIA,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,ASK,113.5,2023-03-15,2023-03-15
ASIA,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,ASK,6.8752,2023-03-15,2023-03-15
ASIA,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,ASK,22.718,2023-03-15,2023-03-15
ASIA,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,ASK,6.5615,2023-03-15,2023-03-15
ASIA,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,ASK,20.1013,2023-03-15,2023-03-15
ASIA,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,ASK,7.8096,2023-03-15,2023-03-15
ASIA,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,ASK,9.0554,2023-03-15,2023-03-15
ASIA,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,ASK,1.3706,2023-03-15,2023-03-15
ASIA,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,ASK,1.3351,2023-03-15,2023-03-15
ASIA,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,BID,6.8705,2023-03-15,2023-03-15
